yyyymm,equity_premium,b/m,tbl,ntis,infl,ltr,svar,dp,dy,ep,tms,dfy,dfr
195507,0.093393289,0.534506816,0.016,0.024393174,0.0037383,-0.0102,0.002082119,-3.311583122,-3.252666026,-2.581321392,0.014,0.0046,0.0146
195508,0.027032036,0.531846726,0.019,0.026295646,-0.0024907,0.0004,0.001120404,-3.293294709,-3.301137886,-2.5514533,0.0111,0.0045,0.0121
195509,0.045983832,0.533624791,0.0207,0.025261307,0.0037337,0.0073,0.005711081,-3.294235218,-3.282951276,-2.541189896,0.0091,0.0046,0.0106
195510,0.004912146,0.54740915,0.0223,0.024721476,0,0.0144,0.002679896,-3.259197285,-3.290126387,-2.492969297,0.0069,0.0049,0.0087
195511,0.105593603,0.51525059,0.0224,0.025676614,0.0012415,-0.0045,0.001929162,-3.327311206,-3.25511139,-2.548171537,0.0071,0.0048,0.0086
195512,0.032648791,0.50982801,0.0254,0.025153232,-0.0024845,0.0037,0.000474703,-3.322576427,-3.32323584,-2.530798643,0.0041,0.0047,0.0061
195601,-0.001788481,0.528954412,0.0241,0.026340593,-0.0012446,0.0083,0.001179984,-3.267266708,-3.304449042,-2.487192236,0.0051,0.0049,0.007
195602,0.068974636,0.514835108,0.0232,0.024093392,0,-0.0002,0.001100147,-3.283561394,-3.249462083,-2.514905752,0.0061,0.005,0.0076
195603,0.100149565,0.5310772,0.0225,0.026624457,0.0012446,-0.0149,0.001008856,-3.333029933,-3.266068237,-2.575524884,0.0078,0.005,0.0085
195604,0.031368048,0.526621716,0.026,0.026160381,0.001243,-0.0113,0.000814899,-3.317569668,-3.319634505,-2.581623358,0.0051,0.0044,0.0064
195605,-0.03161041,0.568559774,0.0261,0.029221514,0.0049566,0.0225,0.001836437,-3.236356261,-3.30434568,-2.521864439,0.0038,0.0045,0.0067
195606,0.073943283,0.551564593,0.0249,0.025603665,0.0061614,0.0027,0.001037045,-3.261722435,-3.223310422,-2.568575255,0.005,0.005,0.0077
195607,0.084370469,0.524902957,0.0231,0.024675954,0.007344,-0.0209,0.000495576,-3.304583041,-3.254344166,-2.631862783,0.0082,0.0052,0.0097
195608,-0.003247023,0.541391124,0.026,0.023751447,-0.0012203,-0.0187,0.001235401,-3.258445578,-3.297253337,-2.606273346,0.0065,0.005,0.0083
195609,-0.009124876,0.571909521,0.0284,0.02930552,0.0012203,0.005,0.000787779,-3.204644605,-3.251174644,-2.573141587,0.004,0.0051,0.0072
195610,0.041514122,0.566427008,0.029,0.029403413,0.006079,-0.0054,0.001642011,-3.227983652,-3.222924805,-2.583029997,0.0039,0.0058,0.0069
195611,0.025061394,0.574897415,0.0299,0.02705853,0,-0.0057,0.001731517,-3.235579554,-3.246609889,-2.576849745,0.0034,0.0055,0.007
195612,0.068592715,0.544176827,0.0321,0.026133955,0.0024213,-0.0179,0.001020276,-3.289216447,-3.254553576,-2.616389269,0.0024,0.0062,0.0054
195701,-0.007173176,0.567242675,0.0311,0.027836938,0.0012085,0.0346,0.000901943,-3.248451342,-3.291132073,-2.574685554,0.0017,0.0072,0.0066
